Supplier Name,Country,Core Training Focus,Training Types Offered,Delivery Mode,Contact Email,Participants per Session,Languages Available
AutoTrain Solutions GmbH,Germany,Manufacturing & Lean Production,Lean Manufacturing; Six Sigma; Industry 4.0,On-site; Virtual,info@autotrain-solutions.de,12-20,German; English
EuroDrive Academy,France,Vehicle Engineering,Powertrain Systems; EV Technology; ADAS,Classroom; Lab-based,contact@eurodrive-academy.fr,8-15,French; English
Nordic Mobility Institute,Sweden,Sustainable Mobility,EV Systems; Battery Tech; Green Manufacturing,Hybrid,training@nordicmobility.se,10-18,English; Swedish
ItalTech Automotive Training,Italy,Design & Prototyping,CAD CATIA; SolidWorks; Rapid Prototyping,On-site,info@italtech-auto.it,6-12,Italian; English
Iberia Auto Skills Center,Spain,Production Workforce Training,Assembly Line; Robotics Operation,On-site,support@iberia-autoskills.es,15-25,Spanish; Portuguese; English
UK Auto Learning Hub,United Kingdom,Compliance & Safety,ISO Standards; ISO 26262; Quality Mgmt,Virtual; On-site,enquiries@ukautolearning.co.uk,10-20,English
Central Europe Industry Trainers,Poland,Industrial Automation,PLC Programming; Robotics KUKA; ABB,On-site,office@ce-industrytrainers.pl,8-16,Polish; English
Benelux Automotive Academy,Netherlands,Logistics & Supply Chain,JIT; Warehouse Optimization,Hybrid,info@benelux-autoacademy.nl,12-22,Dutch; English
Alpine Engineering Training Group,Austria,Mechanical Engineering,Materials; Testing & Validation,Classroom,contact@alpine-engineering.at,6-14,German; English
Baltic Tech Mobility Training,Estonia,Software & Digitalization,AUTOSAR; Cybersecurity; AI Mobility,Virtual,hello@baltictechmobility.ee,8-18,English; Estonian
Six Sigma INC,Europe-wide,Process Improvement,Six Sigma Green Belt; Black Belt,Virtual; On-site,info@sixsigma-inc.com,10-20,English; German; French; Spanish
Lean Thinking Institute,Europe-wide,Lean Manufacturing,Lean Principles; Value Stream Mapping,Virtual; On-site;Hybrid,info@leanthinkinginstitute.com,10-20,English; German; French; Spanish; 
Lean Management DE,Europe-wide,Lean Manufacturing,Lean Principles; Six Sigma, Virtual; On-site;Hybrid,info@leanmanagement.com,10-20,English; German; French; Spanish; 
